0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0.1137283549,0.2227587819,0.0765118212,-0.1911088049,-0.2592058063,-0.0859349042,-0.0531978704,0.1863098174,0.1564188302,0.1291667789,-0.117323187,-0.0540783681,-0.0108347645,-0.0565124229,0.2543492079,-0.104208152,-0.1121929467,0.0376208756,-0.0041312136,0.0555965513,-0.043404232,0.018150744,-0.0727132455,0.0315169014,0.0083320878,0.4287122488,0.1942187905,-0.6409853458
0.1060869426,0.2160740346,0.0648110077,-0.1851364702,-0.2517405301,-0.0767383024,-0.0545167424,0.1855455995,0.1559619784,0.1330667257,-0.111457251,-0.061286626,-0.0067528114,-0.0557256319,0.2426076949,-0.1048930705,-0.1076963529,0.0330401618,0.0100468785,0.0584887587,-0.0412330866,0.0182856246,-0.0772939488,0.0339907926,0.0107111715,0.4287122488,0.1848804295,-0.6750981808
0.0979823843,0.2063203543,0.0531005487,-0.178515172,-0.2441516072,-0.0693434328,-0.0561586641,0.1834227473,0.1568732738,0.136585632,-0.1073037818,-0.0664825924,-0.0041957111,-0.0559267327,0.2319501966,-0.1058943316,-0.1032264262,0.030202087,0.0228903327,0.0576963365,-0.0410506219,0.0211403865,-0.080132024,0.0351736113,0.0117696407,0.4287122488,0.1773320645,-0.7086959124
0.0898610905,0.1978347301,0.0429069012,-0.1723976225,-0.2374884456,-0.0603824504,-0.0581450678,0.1813549072,0.1580749393,0.1391841441,-0.1021805957,-0.0707360998,-0.0020043368,-0.0555386879,0.2224834174,-0.106318152,-0.0981990978,0.028187811,0.0353664123,0.0591607727,-0.0389869832,0.0213541172,-0.0821462944,0.0357955702,0.013632752,0.4287122488,0.1702620506,-0.7419195056
0.0846788391,0.1899681747,0.0321453542,-0.1662062734,-0.2315498292,-0.0525325708,-0.059711653,0.1801677912,0.1580166012,0.142603597,-0.0988261834,-0.0741919875,-0.0007196061,-0.0554658353,0.212484175,-0.1077928022,-0.0928371087,0.0267355217,0.0458810195,0.0576656036,-0.0370474305,0.0227620807,-0.0835985869,0.0360127557,0.0140018187,0.4287122488,0.1634183019,-0.7753504038
0.0793504015,0.1827961177,0.0209763471,-0.1600248218,-0.2253569841,-0.0443612844,-0.0622134902,0.1795354605,0.1570122689,0.1467852563,-0.0952338815,-0.076755251,-0.0003559495,-0.0555459276,0.2030954391,-0.1085054904,-0.0895641595,0.0236599091,0.0560114935,0.059537106,-0.036083968,0.0246706359,-0.0866741881,0.0376602091,0.0137595486,0.4287122488,0.157081145,-0.8086616397
0.0748655215,0.1761299402,0.0117111848,-0.1549853295,-0.2178936929,-0.0378156774,-0.0640953787,0.1798406452,0.1561031908,0.1491796911,-0.09178579,-0.0792806372,-0.0001758697,-0.0548587449,0.1935269922,-0.1090034992,-0.086558713,0.0215141885,0.0669363454,0.0597175077,-0.0338599473,0.025438506,-0.0888199016,0.0384271137,0.0139288931,0.4287122488,0.1513566136,-0.8416342258
0.0691722333,0.1697958559,0.0029426875,-0.150485909,-0.2108203828,-0.0313141976,-0.0652195573,0.1804477811,0.1553192198,0.1492225707,-0.0894824252,-0.0814491674,0.0003105174,-0.0540440939,0.1836779505,-0.1080870062,-0.0832588404,0.0203678776,0.0762390479,0.0573856138,-0.0319358293,0.0277140338,-0.0899662077,0.0383430749,0.0127220002,0.4287122488,0.1465373665,-0.8749595046
0.0634329058,0.1629254222,-0.0040763103,-0.1451362878,-0.2047566682,-0.0262102179,-0.0667871922,0.1800412536,0.1549942434,0.1513103306,-0.0879396006,-0.0820083857,0.0001310851,-0.053763438,0.1753413379,-0.107771644,-0.0804916069,0.0189459749,0.0835411727,0.0554567568,-0.0295901118,0.0298184793,-0.0913880885,0.039052254,0.012029189,0.4287122488,0.1427284837,-0.9086682558
0.0593530796,0.1559080124,-0.0115127182,-0.1412941605,-0.1990437567,-0.0211218674,-0.0682589807,0.1802430093,0.1548919708,0.1514729917,-0.0857848793,-0.0828739405,0.0003435352,-0.0543155417,0.1678526789,-0.1076960117,-0.0770525604,0.0173241528,0.0906570584,0.0584515564,-0.02694651,0.029329421,-0.0930098951,0.0398307107,0.0103577153,0.4287122488,0.1387374103,-0.9419707417
